rep,frame,t,right_angle,right_elbow_dx_norm,right_dy_norm,left_angle,left_elbow_dx_norm,left_dy_norm,shoulder_width
7,18,0.8802,3.5,0.5105,0.1109,9.3,0.2652,-0.8056,0.1924
7,19,0.9265,3.8,0.5338,0.1861,20.3,0.2181,-1.3341,0.1905
7,20,0.9738,3.7,0.5303,0.2205,33.9,0.1707,-1.4203,0.1915
7,21,1.0201,3.8,0.5251,0.2146,34.8,0.1559,-1.4182,0.1928
7,22,1.0672,5.2,0.5063,0.2262,2.7,0.1133,-1.1972,0.1945
7,23,1.1141,5.7,0.4756,0.1668,23.8,0.0372,-0.6205,0.2057
7,24,1.1606,5.8,0.4629,0.1498,26.7,0.0033,-0.5002,0.2103
7,25,1.206,6.7,0.4512,0.0813,27.7,0.0213,-0.3561,0.2179
7,26,1.251,6.9,0.4506,0.0575,26.3,0.0267,-0.2891,0.2215
7,27,1.2966,7.9,0.4619,0.0338,25.5,0.0349,-0.2363,0.2231
7,28,1.3424,7.3,0.4582,0.0361,24.1,0.022,-0.149,0.2257
7,29,1.3903,7.2,0.4597,0.0332,23.6,0.0406,-0.1487,0.2268
7,30,1.4359,6.9,0.4657,0.0196,22.5,0.0733,-0.1071,0.2262
7,31,1.4813,5.7,0.4432,0.0093,20.1,0.1488,-0.0529,0.2268
7,32,1.5271,4.7,0.4296,0.0197,18.1,0.1807,-0.04,0.2259
7,33,1.5734,3.6,0.4022,0.0252,17.0,0.1991,-0.0144,0.2259
7,34,1.6207,2.2,0.3755,0.0335,16.1,0.2071,-0.0033,0.2258
